transaction_id,date,persona,occupation,transaction_type,category,description,amount_inr,payment_method,recurring,balance_inr
AS-20260102-E001,2026-01-02,Asha,tiffin service,expense,cooking_gas,LPG cylinder,895,UPI,yes,5605.0
AS-20260103-E002,2026-01-03,Asha,tiffin service,expense,school,School fees/supplies,903,UPI,no,4702.0
AS-20260104-E003,2026-01-04,Asha,tiffin service,expense,electricity,Electricity bill,1263,UPI,yes,3439.0
AS-20260105-E005,2026-01-05,Asha,tiffin service,expense,cooking_gas,LPG cylinder,1029,UPI,yes,3267.0
AS-20260105-I004,2026-01-05,Asha,tiffin service,income,work_income,family tiffin payment,857,cash,yes,4296.0
AS-20260109-E006,2026-01-09,Asha,tiffin service,expense,mobile,Mobile recharge,243,UPI,yes,3024.0
AS-20260110-E007,2026-01-10,Asha,tiffin service,expense,vegetables,Vegetable market,105,cash,no,2919.0
AS-20260112-I008,2026-01-12,Asha,tiffin service,income,work_income,office lunch payment,969,cash,yes,3888.0
AS-20260113-E009,2026-01-13,Asha,tiffin service,expense,food,Tea/snacks,112,cash,no,3776.0
AS-20260113-E010,2026-01-13,Asha,tiffin service,expense,cooking_gas,LPG cylinder,927,UPI,yes,2849.0
AS-20260114-E011,2026-01-14,Asha,tiffin service,expense,electricity,Electricity bill,997,UPI,yes,1852.0
AS-20260116-E012,2026-01-16,Asha,tiffin service,expense,groceries,Kirana groceries,209,UPI,no,1643.0
AS-20260117-E013,2026-01-17,Asha,tiffin service,expense,vegetables,Vegetable market,217,cash,no,1426.0
AS-20260118-E014,2026-01-18,Asha,tiffin service,expense,food,Tea/snacks,171,cash,no,1255.0
AS-20260119-E016,2026-01-19,Asha,tiffin service,expense,transport,Bus/auto fare,45,cash,no,3136.0
AS-20260119-I015,2026-01-19,Asha,tiffin service,income,work_income,family tiffin payment,1926,UPI,yes,3181.0
AS-20260120-E017,2026-01-20,Asha,tiffin service,expense,cooking_gas,LPG cylinder,893,UPI,yes,2243.0
AS-20260121-E018,2026-01-21,Asha,tiffin service,expense,mobile,Mobile recharge,380,UPI,yes,1863.0
AS-20260123-E019,2026-01-23,Asha,tiffin service,expense,electricity,Electricity bill,652,UPI,yes,1211.0
AS-20260124-E020,2026-01-24,Asha,tiffin service,expense,food,Tea/snacks,43,cash,no,1168.0
AS-20260126-E022,2026-01-26,Asha,tiffin service,expense,electricity,Electricity bill,709,UPI,yes,1317.0
AS-20260126-I021,2026-01-26,Asha,tiffin service,income,work_income,weekly tiffin collection,858,bank_transfer,yes,2026.0
